prior , v1         , v2             , v3             , v1_ipa       , v2_ipa      , v3_ipa      , v1_trans       , v1_example                        , v2_example                        , v3_example                             
1     , be         , was/were       , been           , biː          , ˈwəz/ˈwɜːr  , bɪn         , быть           , I am a student.                   , They were here.                   , She has been there.
2     , have       , had            , had            , hæv          , hæd         , hæd         , иметь          , I have a car.                     , He had a bike.                    , She has had a dog.
3     , do         , did            , done           , duː          , dɪd         , dʌn         , делать         , I do my homework.                 , He did the work.                  , She has done her job.
4     , get        , got            , got/gotten     , ɡɛt          , ɡɒt         , ɡɒt/ˈɡɒtən  , получить       , I get a gift.                     , He got a prize.                   , She has gotten a promotion.
5     , make       , made           , made           , meɪk         , meɪd        , meɪd        , делать         , I make a cake.                    , She made a dress.                 , They have made a decision.
6     , say        , said           , said           , seɪ          , sɛd         , sɛd         , говорить       , I say hello.                      , She said goodbye.                 , He has said that before.
7     , go         , went           , gone           , ɡoʊ          , wɛnt        , ɡɒn         , идти           , I go to the store.                , They went to the park.            , She has gone to the beach.
8     , take       , took           , taken          , teɪk         , tʊk         , ˈteɪkən     , взять          , I take a book.                    , He took my pen.                   , She has taken the lead.
9     , know       , knew           , known          , noʊ          , nuː         , noʊn        , знать          , I know the answer.                , He knew the truth.                , She has known him for years.
10    , see        , saw            , seen           , siː          , sɔː         , siːn        , видеть         , I see a movie.                    , She saw a bird.                   , They have seen this before.
11    , come       , came           , come           , kʌm          , keɪm        , kʌm         , приходить      , I come home.                      , He came early.                    , She has come a long way.
12    , think      , thought        , thought        , θɪŋk         , θɔːt        , θɔːt        , думать         , I think about it.                 , She thought of a plan.            , They have thought about it.
13    , look       , looked         , looked         , lʊk          , lʊkt        , lʊkt        , смотреть       , I look at the picture.            , He looked at the map.             , She has looked at the menu.
14    , want       , wanted         , wanted         , wɑnt         , ˈwɑntɪd     , ˈwɑntɪd     , хотеть         , I want ice cream.                 , He wanted a cookie.               , She has wanted this for a long time.
15    , give       , gave           , given          , ɡɪv          , ɡeɪv        , ˈɡɪvən      , давать         , I give a gift.                    , She gave a speech.                , They have given us their support.
16    , use        , used           , used           , jus          , juzd        , juzd        , использовать   , I use a computer.                 , He used a tool.                   , She has used this method.
17    , find       , found          , found          , faɪnd        , faʊnd       , faʊnd       , находить       , I find the key.                   , She found her phone.              , They have found the solution.
18    , tell       , told           , told           , tɛl          , toʊld       , toʊld       , говорить       , I tell a story.                   , He told a joke.                   , She has told me about it.
19    , ask        , asked          , asked          , æsk          , æskt        , æskt        , спрашивать     , I ask a question.                 , She asked for help.               , They have asked for more time.
20    , become     , became         , become         , bɪˈkʌm       , bɪˈkeɪm     , bɪˈkʌm      , становиться    , I become a doctor.                , She became a star.                , They have become friends.
21    , leave      , left           , left           , liːv         , lɛft        , lɛft        , уходить        , I leave the room.                 , He left early.                    , She has left her mark.
22    , call       , called         , called         , kɔl          , kɔld        , kɔld        , звонить        , I call my friend.                 , She called me.                    , They have called for backup.
23    , try        , tried          , tried          , traɪ         , traɪd       , traɪd       , пытаться       , I try my best.                    , He tried to help.                 , She has tried this recipe.
24    , need       , needed         , needed         , niːd         , ˈniːdɪd     , ˈniːdɪd     , нуждаться      , I need a break.                   , She needed rest.                  , They have needed more time.
25    , feel       , felt           , felt           , fiːl         , fɛlt        , fɛlt        , чувствовать    , I feel happy.                     , He felt sad.                      , She has felt this way before.
26    , put        , put            , put            , pʊt          , pʊt         , pʊt         , класть         , I put the book on the shelf.      , She put the keys in the bag.      , They have put a lot of effort into it.
27    , mean       , meant          , meant          , miːn         , mɛnt        , mɛnt        , значить        , What does this word mean?         , She meant well.                   , They have meant to do it.
28    , keep       , kept           , kept           , kiːp         , kɛpt        , kɛpt        , держать        , I keep my promise.                , He kept his word.                 , She has kept the secret.
29    , let        , let            , let            , lɛt          , lɛt         , lɛt         , позволять      , I let you go.                     , She let him in.                   , They have let us down.
30    , begin      , began          , begun          , bɪˈɡɪn       , bɪˈɡæn      , bɪˈɡʌn      , начинать       , I begin the project.              , She began the journey.            , They have begun the process.
31    , seem       , seemed         , seemed         , siːm         , siːmd       , siːmd       , казаться       , It seems easy.                    , It seemed strange.                , It has seemed that way.
32    , help       , helped         , helped         , hɛlp         , hɛlpt       , hɛlpt       , помогать       , I help my friend.                 , He helped a stranger.             , She has helped many people.
33    , talk       , talked         , talked         , tɔk          , tɔkt        , tɔkt        , разговаривать  , I talk to her.                    , She talked too much.              , They have talked about it.
34    , turn       , turned         , turned         , tɜrn         , tɜrnd       , tɜrnd       , поворачивать   , Turn left here.                   , He turned the knob.               , She has turned the page.
35    , start      , started        , started        , stɑrt        , ˈstɑrtɪd    , ˈstɑrtɪd    , начинать       , I start my day.                   , She started the car.              , They have started a new project.
36    , show       , showed         , shown          , ʃoʊ          , ʃoʊd        , ʃoʊn        , показывать     , I show you a trick.               , She showed the way.               , They have shown their skills.
37    , hear       , heard          , heard          , hɪr          , hɜːrd       , hɜːrd       , слышать        , I hear a song.                    , He heard a noise.                 , She has heard the news.
38    , play       , played         , played         , pleɪ         , pleɪd       , pleɪd       , играть         , I play the guitar.                , She played a game.                , They have played together.
39    , run        , ran            , run            , rʌn          , ræn         , rʌn         , бегать         , I run in the park.                , He ran a marathon.                , She has run every morning.
40    , movie      , moved          , moved          , ˈmuvi        , ˈmuːvd      , ˈmuːvd      , двигаться      , The movie moves me.               , She moved the table.              , They have moved on.
41    , like       , liked          , liked          , laɪk         , laɪkt       , laɪkt       , нравиться      , I like ice cream.                 , He liked the movie.               , She has liked this place.
42    , live       , lived          , lived          , lɪv          , lɪvd        , lɪvd        , жить           , I live in the city.               , She lived in the country.         , They have lived here for years.
